,Trained_on,Score,Model_ID,CLEAN,MIXED,MIXED_2,MIXED_3,SINGLE_LINE,DOUBLE_LINE,DIAGONAL,CROSS,WAVE,ZIG_ZAG,SCRATCH
30,CLEAN_40,CER,185,0.05263415051241648,0.07708844833693673,0.07721059767671956,0.07631890749630499,0.056616218989336366,0.06130675363699659,0.05913249538886242,0.06338329241330451,0.0929312177067683,0.08063077919063848,0.12323646890688555
31,CLEAN_40,WER,185,0.1426197458455523,0.18778103616813294,0.18870967741935485,0.18870967741935485,0.15210166177908113,0.16300097751710654,0.15762463343108504,0.1660312805474096,0.21935483870967742,0.19628543499511242,0.26510263929618766
32,CLEAN_30,CER,121,0.052988383597786654,0.07508519916449852,0.07572037573136917,0.07605017894878278,0.0565917891213798,0.06043949332453858,0.058680542831665995,0.06486129942467661,0.09075695945863413,0.07798013851735132,0.12042703409188073
33,CLEAN_30,WER,121,0.14198435972629522,0.18269794721407626,0.18616813294232648,0.1872434017595308,0.14995112414467254,0.15997067448680352,0.1563049853372434,0.16788856304985336,0.21735092864125122,0.18958944281524925,0.25850439882697945
34,CLEAN_30,CER,186,0.05395336338207092,0.0742179388520405,0.07575702053330402,0.07608682375071762,0.05668950859320605,0.06153883738258395,0.06009747517314669,0.06423833779178424,0.09241819047968046,0.07895733323561387,0.1172877960594623
35,CLEAN_30,WER,186,0.14511241446725318,0.18387096774193548,0.1875366568914956,0.1883186705767351,0.15249266862170088,0.1626099706744868,0.16055718475073313,0.16735092864125123,0.21945259042033236,0.19301075268817205,0.2570381231671554
36,CLEAN_20,CER,142,0.05402665298594061,0.07385149083269205,0.07374155642688751,0.07425458365397535,0.05584667814870461,0.05963330768197198,0.059083635652949294,0.0637253105646964,0.08585877093334311,0.0757692354672823,0.11375768013973885
37,CLEAN_20,WER,142,0.1429618768328446,0.1812316715542522,0.1816715542521994,0.18201368523949168,0.14882697947214077,0.15879765395894427,0.15664711632453568,0.16573802541544477,0.20679374389051808,0.1869012707722385,0.24863147605083089
38,CLEAN_20,CER,187,0.05472290422270268,0.07463324660730208,0.07519513357030305,0.07551272185373838,0.05692159233879341,0.06075708160797391,0.05891262657725335,0.06404289884813173,0.08776430063395507,0.0775892606300463,0.11616402213346037
39,CLEAN_20,WER,187,0.14775171065493647,0.185386119257087,0.18616813294232648,0.1860215053763441,0.15268817204301074,0.1621700879765396,0.15855327468230693,0.1689149560117302,0.21236559139784947,0.189980449657869,0.2541055718475073
40,CLEAN_10,CER,141,0.054637399684854704,0.07161615791466647,0.07261778250088559,0.07309416492603857,0.05529700611968192,0.06059828746625624,0.0572636104901853,0.06225951848730257,0.08351350360951298,0.07416907911612737,0.11215752378858393
41,CLEAN_10,WER,141,0.147702834799609,0.17952101661779082,0.18211143695014662,0.1827468230694037,0.15024437927663734,0.16085043988269795,0.15405669599217986,0.16324535679374388,0.2035679374389052,0.18391984359726296,0.2489247311827957
42,CLEAN_10,CER,188,0.05473511915668096,0.07325295906775624,0.07380263109677893,0.07403471484236628,0.0575323390377075,0.060903660815713294,0.059230214860688676,0.0635909462909353,0.08543124824410324,0.0750974140984768,0.11445393137650091
43,CLEAN_10,WER,188,0.1456989247311828,0.18084066471163246,0.18176930596285434,0.18343108504398828,0.15278592375366568,0.1580156402737048,0.1583088954056696,0.16598240469208211,0.20782013685239492,0.183822091886608,0.2502932551319648
44,CLEAN_0,CER,158,0.060708221872060784,0.07231240915142853,0.07372934149290923,0.07261778250088559,0.05744683449985953,0.0605616426643214,0.0591447103228407,0.06328557294147825,0.08392881136477458,0.07498747969267226,0.11129026347612592
45,CLEAN_0,WER,158,0.16075268817204302,0.17869012707722384,0.18157380254154448,0.17898338220918866,0.15391006842619745,0.15943304007820136,0.15547409579667645,0.16471163245356793,0.2050830889540567,0.18440860215053764,0.24081133919843598
46,CLEAN_0,CER,189,0.06376195536663125,0.07232462408540682,0.0736194070871047,0.07252006302905933,0.0572636104901853,0.060903660815713294,0.05936457913444978,0.06295576972406464,0.0838433068269266,0.07440116286171473,0.11205980431675767
47,CLEAN_0,WER,189,0.1666177908113392,0.17932551319648093,0.18220918866080157,0.18005865102639296,0.15434995112414468,0.16065493646138806,0.1583088954056696,0.16564027370478984,0.20283479960899314,0.1846041055718475,0.24687194525904202
